STATE;GRPIP_mean;cost35_mean;cost50_mean;EstimateGROSSRENTOccupiedunitspayingrentMediandollars;PercentHOUSINGTENUREOccupiedhousingunitsRenteroccupied;PercentEMPLOYMENTSTATUSCivilianlaborforceUnemploymentRate;EstimateINCOMEANDBENEFITSIN2024INFLATIONADJUSTEDDOLLARSTotalhous;EstimateINCOMEANDBENEFITSIN2024INFLATIONADJUSTEDDOLLARSPercapita;Prevalence_FrequentMentalDistress;Promedio_POORHLTH;YEAR;Stress_mean_STATE;Stress_within;Stress_lag;Y_mean_STATE;Y_within;RIR_35rent;RIR_mean_STATE;RIR_within;RIR_lag
Alabama;39.087528609507300;0.421746051181584;0.264989498073862;717;32.3;8.6;42830;23606;0.145503090979241;3.440109179362610;2014;0.156915823930028;-0.011412732950787;#ÁNULO!;5.757038612751960;-2.316929433389340;0.421746051181584;0.395173293874377;0.026572757307208;#ÁNULO!
Alabama;37.689411305475900;0.407248944727849;0.252687451924365;729;32.1;7.2;44765;24769;0.138803395177613;6.142147035331710;2015;0.156915823930028;-0.018112428752415;0.145503090979241;5.757038612751960;0.385108422579750;0.407248944727849;0.395173293874377;0.012075650853472;0.421746051181584
Alabama;37.262210220929400;0.392641224440916;0.238952565276345;743;31.5;6.4;46257;25810;0.140519233946544;5.911322822578510;2016;0.156915823930028;-0.016396589983484;0.138803395177613;5.757038612751960;0.154284209826548;0.392641224440916;0.395173293874377;-0.002532069433461;0.407248944727849
Alabama;35.982763356681800;0.374523111904653;0.226552366127974;750;32.0;5.8;48123;26498;0.149384277052207;6.278348894952550;2017;0.156915823930028;-0.007531546877821;0.140519233946544;5.757038612751960;0.521310282200592;0.374523111904653;0.395173293874377;-0.020650181969724;0.392641224440916
Alabama;35.963124881919500;0.375356130738711;0.236244095975817;788;32.0;5.6;49861;27525;0.152006010331476;6.287116991868560;2018;0.156915823930028;-0.004909813598552;0.149384277052207;5.757038612751960;0.530078379116602;0.375356130738711;0.395173293874377;-0.019817163135665;0.374523111904653
Alabama;36.430936838091200;0.376738188998675;0.232795562922159;807;31.2;4.9;51734;28650;0.171744271755902;6.186961919557010;2019;0.156915823930028;0.014828447825874;0.152006010331476;5.757038612751960;0.429923306805049;0.376738188998675;0.395173293874377;-0.018435104875702;0.375356130738711
Alabama;38.562126713399800;0.406953905064112;0.255301337157415;861;30.0;5.3;53913;30608;0.181335846873836;5.701821452450210;2021;0.156915823930028;0.024420022943808;0.171744271755902;5.757038612751960;-0.055217160301750;0.406953905064112;0.395173293874377;0.011780611189735;0.376738188998675
Alabama;38.976104950804300;0.409597807575318;0.271940980046556;913;29.8;4.3;59674;33777;0.177012467457450;6.257402794692510;2022;0.156915823930028;0.020096643527422;0.181335846873836;5.757038612751960;0.500364181940553;0.409597807575318;0.395173293874377;0.014424513700941;0.406953905064112
Alabama;38.025519872790900;0.391754280237573;0.250212378200195;982;29.9;4.0;35046;62212;0.155933821795981;5.608116423973950;2023;0.156915823930028;-0.000982002134047;0.177012467457450;5.757038612751960;-0.148922188778009;0.391754280237573;0.395173293874377;-0.003419013636804;0.409597807575318
Alaska;38.211531305237700;0.417957484417155;0.226614103637548;1183;37.5;7.6;71583;33062;0.089121451246295;2.091808879261910;2014;0.118747606254887;-0.029626155008592;#ÁNULO!;4.400692479297760;-2.308883600035850;0.417957484417155;0.377168280982151;0.040789203435004;#ÁNULO!
Alaska;37.057416838615000;0.419307515236812;0.241880657896306;1163;36.1;7.9;73355;34352;0.109710011261099;3.842265051611650;2015;0.118747606254887;-0.009037594993788;0.089121451246295;4.400692479297760;-0.558427427686109;0.419307515236812;0.377168280982151;0.042139234254660;0.417957484417155
Alaska;33.866603654694400;0.326729678638941;0.202747321991178;1208;35.5;8.0;76440;34187;0.100077803716638;3.959228094631290;2016;0.118747606254887;-0.018669802538249;0.109710011261099;4.400692479297760;-0.441464384666473;0.326729678638941;0.377168280982151;-0.050438602343210;0.419307515236812
Alaska;36.791336188020000;0.354848912461681;0.219794657194297;1201;36.5;7.6;73181;34222;0.113146635959626;4.578327443859490;2017;0.118747606254887;-0.005600970295261;0.100077803716638;4.400692479297760;0.177634964561736;0.354848912461681;0.377168280982151;-0.022319368520471;0.326729678638941
Alaska;37.167115529826300;0.388207903347596;0.246362949911905;1177;34.4;6.8;74346;35735;0.107741760543831;4.720189116038860;2018;0.118747606254887;-0.011005845711056;0.113146635959626;4.400692479297760;0.319496636741104;0.388207903347596;0.377168280982151;0.011039622365445;0.354848912461681
Alaska;34.638766685939800;0.362854772618718;0.206905653736896;1201;35.3;5.8;75463;36978;0.117290613546804;4.603672250504620;2019;0.118747606254887;-0.001456992708082;0.107741760543831;4.400692479297760;0.202979771206858;0.362854772618718;0.377168280982151;-0.014313508363433;0.388207903347596
Alaska;38.533367043802500;0.411908223247582;0.236963529486126;1259;33.2;7.0;77845;39509;0.136926142646660;5.097732636796610;2021;0.118747606254887;0.018178536391773;0.117290613546804;4.400692479297760;0.697040157498854;0.411908223247582;0.377168280982151;0.034739942265431;0.362854772618718
Alaska;34.082205949764300;0.347124437287697;0.196064833860295;1329;33.9;4.6;88121;43054;0.148399541686321;5.279359389463680;2022;0.118747606254887;0.029651935431434;0.136926142646660;4.400692479297760;0.878666910165917;0.347124437287697;0.377168280982151;-0.030043843694454;0.411908223247582
Alaska;37.339909671466400;0.365575601583178;0.243753490517932;1373;33.7;4.8;45792;86631;0.146314495686707;5.433649451511720;2023;0.118747606254887;0.027566889431821;0.148399541686321;4.400692479297760;1.032956972213960;0.365575601583178;0.377168280982151;-0.011592679398974;0.347124437287697
Arizona;36.953887392895400;0.390555640934836;0.236421910253755;916;38.9;7.9;50068;25715;0.116330703424913;2.689785075923730;2014;0.131987766047777;-0.015657062622864;#ÁNULO!;4.944371167363520;-2.254586091439790;0.390555640934836;0.398770519161629;-0.008214878226793;#ÁNULO!
